Company Name,Job Title,Salary ($) /yr,Job Description,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary($) /month ,Company age,job_state,Remote,seniority,desc_len
Western Governors University ,Data Scientist,109000.0,The salary range role takes account wide range factors considered making compensation decisions including limited skill sets experience training licensure certifications business organizational needs At WGU typical individual hired near top range role compensation decisions dependent facts circumstances case A reasonable estimate current range Pay Range 8720000 13080000 If you’re passionate building better future individuals communities country—and you’re committed working hard play part building future—consider WGU next step career,3.8,"Salt Lake City, UT",5001 to 10000 Employees,1997,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),9083.33,27, UT,0.0,nf,767
Coinbase ,Senior Data Scientist,173125.0,At Coinbase mission increase economic freedom around world couldn’t without hiring best people We’re group hardworking overachievers deeply focused building future finance Web3 users across globe whether they’re trading storing staking using crypto Know people always lead group project That’s us There things look across hires make Coinbase regardless role team First look candidates thrive culture like default trust embrace feedback disrupt Second expect employees commit missionfocused approach work Finally seek people excited learn live crypto folks enjoy intense moments sprint recharge work culture We’re remotefirst company looking hire absolute best talent world,3.7,Remote,501 to 1000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,14427.08,12,Remote,1.0,senior,982
IT Consulting Services ,Data Scientist,102897.0,We offer challenging rewarding opportunities many locations globally With offices US India At ITCS opportunity work alongside team members experts field innovators many different areas business IT If looking good opportunities advancement progress career ITCS place IT Consulting Services Inc seeks Data Scientist Fairless PA office apply algorithms models predict outcomes interest health pharmaceutical epidemiological laboratory data medical use Work apply sampling techniques determine groups surveyed use enumeration methods better analyze future health trends Clean manipulate raw data using statistical software better efficient health data aid innovations pharmaceutical industry May travel relocate various unanticipated sites throughout US Must bachelorâ€™s degree Biology Pharmacy related 6 months experience Send resume contacthritconsultservicescom,4.5,"Fairless Hills, PA",1 to 50 Employees,-1,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD),8574.75,-1, PA,0.0,nf,1097
Salesforce ,Data Scientist Senior,209350.0,To get best candidate experience please consider applying maximum 3 roles within 12 months ensure duplicating efforts Job Category Data Job Details About Salesforce We’re Salesforce Customer Company inspiring future business AI Data CRM Leading core values help companies across every industry blaze new trails connect customers whole new way And empower Trailblazer — driving performance career growth charting new paths improving state world If believe business greatest platform change companies well good – you’ve come right place Pursuant San Francisco Fair Chance Ordinance Los Angeles Fair Chance Initiative Hiring Salesforce consider employment qualified applicants arrest conviction records,4.1,"San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),17445.83,25, CA,0.0,senior,949
Bentley Systems ,Data Scientist,107111.0,Data Scientist Location homebased office US Eastern Central time zone Position Summary Bentley Systems seeking skilled Data Scientist join budding team data professionals The team focused creative use data design prototype build engaging enterprise scale solutions As Data Scientist responsible endtoend data science pipeline – data exploration deploying models production environment In small team setting you’ll grow versatile skills collaborate closely team members enjoy flexibility direct impact business,4.0,"Exton, PA",1001 to 5000 Employees,1984,Company - Public,Software Development,Information Technology,$500 million to $1 billion (USD),8925.92,40, PA,0.0,nf,632
McIntire Solutions ,Data Scientist,150000.0,Title Data Scientist Location Chantilly VA onsite Clearance Current active TSSCI CI Polygraph REQUIRED McIntire Solutions LLC seeking Data Scientist join team Chantilly VA Responsibilities Support advanced cloud application architecture – experience designing implementing complex multicomponent cloud application solutions Support resilient applications design applications leverage one section cloud residency fault tolerance Support big data analytics – broad field includes machine learning data curation building data pipelines etc,4.0,"Springfield, VA",1 to 50 Employees,-1,Company - Public,National Agencies,Government & Public Administration,$1 to $5 million (USD),12500.0,-1, VA,0.0,nf,627
PrizePicks ,Data Scientist - GameOps (Esports),109365.0,At PrizePicks fastest growing sports company North America recognized Inc 5000 As leading platform Daily Fantasy Sports cover diverse range sports leagues including NFL NBA Esports titles like League Legends CounterStrike Our team 400 employees thrives inclusive culture values individuals diverse backgrounds regardless level sports fandom Ready reimagine DFS industry together The Analytics Team responsible building maintaining analytics tools workflows support PrizePicks business across departments core operations data insights driven data PrizePicks looking Data Scientist 2 years experience join Data Science team You working closely data scientists reporting analysts cross departmental directors test business flows make business recommendations provide novel business insights leadership focused driving revenue growth optimizing marketing efficiency optimizing retention efforts,4.8,"Atlanta, GA",201 to 500 Employees,2015,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,9113.75,9, GA,0.0,nf,1135
SpaceX ,Sr. Data Scientist (Starlink Product),190000.0,SpaceX founded belief future humanity exploring stars fundamentally exciting one Today SpaceX actively developing technologies make possible ultimate goal enabling human life Mars SR DATA SCIENTIST STARLINK PRODUCT At SpaceX leveraging experience building rockets spacecraft deploy Starlink worlds advanced broadband internet system Starlink worlds largest satellite constellation providing fast reliable internet 2M users worldwide We design build test operate parts system – thousands satellites consumer receivers allow users connect within minutes unboxing software brings together Weve begun scratch surface Starlinks potential global impact looking bestinclass engineers help maximize Starlinks utility communities businesses around globe,3.9,"Hawthorne, CA",5001 to 10000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,15833.33,22, CA,0.0,senior,1003
SAP ,Lead Research Scientist - Data Privacy - Preserving and Secure AI,170587.0,We help world run better Our company culture focused helping employees enable innovation building breakthroughs together How We focus every day building foundation tomorrow creating workplace embraces differences values flexibility aligned purposedriven futurefocused work We offer highly collaborative caring team environment strong focus learning development recognition individual contributions variety benefit options choose Apply Summary At SAP amplify strength AI technology fusing robust industryfocused data profound process knowledge Our vision infuse every SAP application sophisticated AI capabilities revolutionizing way businesses operate Large Language Models LLMs hold immense potential change way work develop products They reshaping landscape Machine Learning across various domains,4.3,"Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),14215.58,52, CA,0.0,senior,1000
Snapchat ,"Senior Data Scientist, Ad Ranking",212500.0,Snap Inc technology company We believe camera presents greatest opportunity improve way people live communicate Snap contributes human progress empowering people express live moment learn world fun together The Company’s three core products Snapchat visual messaging app enhances relationships friends family world Lens Studio augmented reality platform powers AR across Snapchat services AR glasses The base salary range position 205000295000 annually The base salary range position 195000280000 annually The base salary range position 174000251000 annually,3.7,"Los Angeles, CA",5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,17708.33,13, CA,0.0,senior,755
Digital Science ,Scientometric Data Scientist,124823.72,Description About us We Digital Science advancing research ecosystem We pioneering technology company vision future trusted collaborative research ecosystem drives progress We believe better open collaborative inclusive research In creating next generation tools working partnership community tackle biggest challenges research In order achieve vision need innovative inspiring dynamic people join team Want join us Dimensions part Digital Science family world’s largest linked research information dataset covering millions research publications connected 13 billion citations We shaping future research looking Data Scientist join team,4.0,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,nf,856
Tempus ,"Principal Bioinformatics Data Scientist, Liquid Biopsy",215000.0,Passionate precision medicine advancing healthcare industry Recent advancements underlying technology finally made possible AI impact clinical care meaningful way Tempus proprietary platform connects entire ecosystem realworld evidence deliver realtime actionable insights physicians providing critical information right treatments right patients right time expanding liquid biopsy portfolio including diagnostics therapy selection molecular residual disease testing therapeutic response monitoring We looking highly motivated capable bioinformatics data scientist extensive experience interest translational cancer research genomics algorithm development This position requires experience scientific programming relational data systems algorithms development statisticalmachine learning modeling Top candidates also leadership experience NGS pipeline development clinical setting,3.1,"Redwood City, CA",501 to 1000 Employees,2015,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,17916.67,9, CA,0.0,senior,1043
Salesforce ,Principal Data Scientist/Machine Learning Engineer,246900.0,To get best candidate experience please consider applying maximum 3 roles within 12 months ensure duplicating efforts Job Category Software Engineering Job Details About Salesforce We’re Salesforce Customer Company inspiring future business AI Data CRM Leading core values help companies across every industry blaze new trails connect customers whole new way And empower Trailblazer — driving performance career growth charting new paths improving state world If believe business greatest platform change companies well good – you’ve come right place Pursuant San Francisco Fair Chance Ordinance Los Angeles Fair Chance Initiative Hiring Salesforce consider employment qualified applicants arrest conviction records,4.1,"San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),20575.0,25, CA,0.0,senior,934
Roku ,Sr. Data Scientist,171500.0,Teamwork makes stream work Roku changing world watches TV Roku 1 TV streaming platform US weve set sights powering every television world Roku pioneered streaming TV Our mission TV streaming platform connects entire TV ecosystem We connect consumers content love enable content publishers build monetize large audiences provide advertisers unique capabilities engage consumers From first day Roku youll make valuable valued contribution Were fastgrowing public company one bystander We offer opportunity delight millions TV streamers around world gaining meaningful experience across variety disciplines,3.7,"San Jose, CA",1001 to 5000 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),14291.67,22, CA,0.0,senior,785
Eastport Analytics ,Data Scientist,124823.72,Data Scientist Eastport Analytics opportunity full time Data Scientist strong SQL Python experience As Data Scientist performing data manipulation data analysis data wranglingETL You using statistical software exploratory data analysis EDA toolstechniques inform senior leadership decisionmaking You responsible building maintaining executing documenting SQL models ensure data managed efficiently effectively client This role includes developing implementing databases data collection systems acquiring data primary secondary sources maintaining data ingest processes identifyinganalyzinginterpreting trends patterns complex datasets,4.3,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,nf,774
UNKNOWN ,Data Scientist / Active Secret Clearance,80.0,This position open United States Citizens ONLY active clearance Description ● Experienced Data Scientist ● Establish implement mathematical problemsolving coding skills manage wide variety data extract valuable insights ● Data involve structured unstructured data information advantage activities support multidomain operations ● Hybrid role onsite customer support Minimum Qualifications ● A current Secret level US Government clearance required therefore candidates must US Citizen Can also consider candidates TS clearance well,-1.0,United States,1 to 50 Employees,-1,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,6.67,-1,United States,0.0,nf,637
Software Bloc ,Data Scientist,111196.0,Software Bloc LLC Plano TX Technologies –Proficient Python R experience SQL GitHub deal breaker AWSAzure cloud storage related experience Full Time JOB DESCRIPTION Your role work inform business strategic recommendations data collection integration retention requirements incorporating business needs knowledge best practices,-1.0,"Plano, TX",1 to 50 Employees,-1,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,9266.33,-1, TX,0.0,nf,395
BigHat Biosciences ,Data Scientist (Computational Biologist),140013.0,The Role BigHat Biosciences seeking exceptional Data Scientist join growing team This position accelerate BigHat’s data science capabilities focused advancing BigHat’s stateoftheart antibody engineering platform therapeutic programs Key Responsibilities The goals responsibilities position include Advance BigHat therapeutic programs ownership entire data science life cycle experimental design data analysis modeling including implementation novel antibody design strategies development robust data pipelines assays antibody function developability datadriven improvements statistical ML models,4.2,"San Mateo, CA",1 to 50 Employees,2019,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,11667.75,5, CA,0.0,nf,707
VidMob ,Data Scientist,124823.72,Shape future intelligence creativity We looking passionate world technology creativity converge incredible work inspired brilliant analysis Bold creators owners achievers Ready bring everything theyve got build care consideration deliver truly Intelligent Creative Responsibilities Design develop Computer Vision Natural Language processing Machine Learning algorithms largescale production systems assess solutions performance statistical analysis Work large datasets solve difficult analysis problems applying advanced analytical methods Conduct endtoend analyses including data gathering requirements specification processing analysis ongoing deliverables presentations,2.6,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,nf,811
UNKNOWN ,Data Scientist,124823.72,Company Description We searching Data Scientist join company immediate basis We looking experienced Data Scientist support government customer You expert using large big data sets products undertake optimization use models test effectiveness different courses action Job Description In role highly logical strong capability analysis math statistics Analytical skills problems solving essential interpreting data Passion research machine learning also required candidate successful role You ultimately help company analyze trends make better decisions Ally engineering product development teams Suggest solutions strategies business challenges Present information using data visualization techniques Produce predictive machine learning rules Integrate models ensemble modeling Manage processing structured unstructured data Examine large amount information discover new patterns trends Recognize valuable data sources automate collection procedure Work closely Data Engineer analyze data conduct statistical analysis Qualifications Bachelor’s Master’s degree Computer Science Data Science Engineering quantitative field Proven 3 5 years work experience Data Scientist Data Analyst Software Engineer similar position Excellent knowledge programming languages like R Python Excellent understanding SQL databases Familiar Java Scala C Solid experience using business intelligence tools Tableau data frameworks example Hadoop Outstanding data analysis skills Exceptional data analytics knowledge Good understanding data driven statistical models predictive modeling Outstanding presentation skills Strong oral written communication skills Excellent math skills like algebra statistics etc Great knowledge machine learning artificial intelligence Power BI Investigative mind business awareness Strong organizational skills Additional Information If feel suitable role send application us We shall happy meet,-1.0,"Washington, DC",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1, DC,0.0,nf,2332
Meta ,Data Analyst - Trust & Safety,150000.0,We seeking highly skilled Data professional join Law Enforcement Analytics Program team In role responsible leveraging data analytics help ensure safety security users You work closely crossfunctional teams identify mitigate risks develop implement solutions measure effectiveness effortsThe ideal candidate strong background data science including experience statistical modeling You also excellent communication skills able collaborate effectively technical nontechnical stakeholders If passionate using data make positive impact world encourage apply exciting opportunity Meta builds technologies help people connect find communities grow businesses When Facebook launched 2004 changed way people connect Apps like Messenger Instagram WhatsApp empowered billions around world Now Meta moving beyond 2D screens toward immersive experiences like augmented virtual reality help build next evolution social technology People choose build careers building us Meta help shape future take us beyond digital connection makes possible today—beyond constraints screens limits distance even rules physics,3.9,"Menlo Park, CA",10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),12500.0,20, CA,0.0,nf,1449
SmartUQ ,Data Scientist,124823.72,Data Scientist Employer SmartUQ LLC Work location 3545 University Ave Madison WI 53705 Job Duties Develop advanced statistical data analytics algorithms methods uncertainty quantification design experiments predictive modeling etc Implement different statistical methods data analytics algorithms machine learning algorithms R C Develop stateoftheart statistical methods improve accuracy efficiency existing methodologies,4.0,"Madison, WI",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1, WI,0.0,nf,484
US Central Intelligence Agency ,Data Scientist,123929.0,Duties As Data Scientist CIA organize interpret data inform US decisionmakers drive successful operations shape CIA technology resource investments Through CIAs global mission Agency access unique highly specialized data sets You work advanced hardware software techniques develop computational algorithms statistical methods find patterns relationships large volumes data use AI techniques include deep learning machine learning You also create scalable high performance repeatable computational solutions realize algorithmic approaches Data Scientists clearly communicate conclusions diverse audience become experts Agencysponsored continuing education attendance academic technical conferences well collaboration Intelligence Community,3.9,"Washington, DC",Unknown,1947,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,10327.42,77, DC,0.0,nf,916
Broadcom ,Principal Data Scientist,121600.0,Please Note 1 If first time user please create candidate login account apply job 2 If already Candidate Account please SignIn apply Job Description Principal Data Scientist Mainframe Solutions Plano TX At Broadcoms Mainframe Division leveraging power AI revolutionize mainframe experience Fortune 500 clients Were searching driven impactful Data Scientist join team someone thrives translating business challenges innovative AI solutions realworld impact What youll,3.5,"Plano, TX",10000+ Employees,1991,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),10133.33,33, TX,0.0,senior,603
Next Insurance ,"Data Scientist, Analytics",150618.0,Location Palo Alto CA hybrid NEXTs mission help entrepreneurs thrive Were building technologyled fullstack provider small business insurance industry taking entire value chain transforming customer experience Simply put wherever find small businesses youll find NEXT Since 2016 weve helped hundreds thousands small business customers across United States get fast customized affordable coverage Were backed industry leaders insurance tech still room grow — thats come,3.8,"Palo Alto, CA",501 to 1000 Employees,2016,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,12551.5,8, CA,0.0,nf,604
Expedia Group ,"Senior Data Scientist, Product Analytics",124823.72,If need assistance recruiting process due disability please reach Recruiting Accommodations Team Accommodation Request form This form used individuals disabilities require assistance adjustments applying interviewing job This form inquiring position status application Senior Data Scientist Product Analytics Are excited opportunity pioneer future travel Do want redefine way people plan search book travel At Expedia Group believe travel brings world together passionate endless possibilities This role great opportunity join global Product Analytics Experimentation team user experience optimization obsessed The total cash range position Austin 17300000 24250000 Employees role potential increase pay 27700000 top range based ongoing demonstrated sustained performance role Expedia iscommittedto creating inclusive workenvironmentwith diverse workforce All qualified applicants receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran status This employer participates EVerify The employer provide Social Security Administration SSA necessary Department Homeland Security DHS information new employees I9 confirm work authorization,3.9,"Austin, TX",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1, TX,0.0,senior,1667
UNKNOWN ,Data Scientist,127500.0,Company Overview BlueConduit water analytics social enterprise pioneered predictive modeling approach lead service line identification replacement Through PlatformasaService offering utilities municipalities government agencies consultants standardize predict report communicate key information lead pipes BlueConduit founded 2019 operates Ann Arbor MI Our service offering enables utilities focus resources digging lead Digging right place accelerates removal significant health concern saves millions dollars avoided digs Since 2016 BlueConduit worked 200 cities inventoried 2 million service lines saving customers 300M years added work,4.6,United States,1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,10625.0,-1,United States,0.0,nf,808
CVS Health ,Senior Data Scientist - Consumer Analytics,149350.0,Bring heart CVS Health Every one us CVS Health shares single clear purpose Bringing heart every moment health This purpose guides commitment deliver enhanced humancentric health care rapidly changing world Anchored brand — heart center — purpose sends personal message deliver services important deliver Our Heart At Work Behaviors™ support purpose We want everyone works CVS Health feel empowered role play transforming culture accelerating ability innovate deliver solutions make health care personal convenient affordable 10660500 20600000,3.1,"New York, NY",10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),12445.83,61, NY,0.0,senior,732
TCL Research America ,"Scientist, Data Mining",124063.0,Location San Jose California USA This highprofile scientist role responsible leading data mining research algorithm design TCL’s advanced cloudbased services applications The ideal candidate expert data mining statistical analysis largescale data sets example media content metadata user behavior log data The scientist works closely engineering team leaders productprogram managers deploy advanced algorithms service platform endpoint devices The scientist must multidisciplined good communication skills trained documentation capabilities,3.8,"San Jose, CA",1 to 50 Employees,-1,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,10338.58,-1, CA,0.0,nf,666
UNKNOWN ,Data Scientist II (Refer to Job # QP24),117445.0,Who Wyze Wyze high growth Series B consumer technology company Our vision make great technology accessible everyone smart home platform Our aim serve everyday people like friends families good true products services We want employees inspired welcome help us build next amazing chapter Wyze Wyze home innovative products services market Forbes named us America’s Best Startup Employers 2023 list Time Magazine selected us 100 Most Influential Companies 2022 Fast Company named us one Most Innovative Companies 2021and PCMag gave Cam v3 Editor’s Choice Award We disrupted market Wyze Cam v1 quickly took market leader space We recently disrupted revolutionary Cam Plus Pro service GeekWire calls us startup watch one Pacific Northwest’s next unicorns… getting started,-1.0,"Kirkland, WA",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,9787.08,-1, WA,0.0,nf,1067
Asana ,"Data Scientist, Marketing",214500.0,Asanas Data Science team helps us fulfil mission informing strategy defining success metrics identifying new ways deliver user value Data scientists crux deepening understanding customers driving business outcomes leveraging experimentation causal inference statistical machine learning techniques data storytelling As Marketing Data Scientist Asana partner Marketing teams across Growth Marketing Revenue Marketing Lifecycle Marketing Marketing Analytics acquire engage convert Asana users customers around globe different stages funnel You develop various skills fullstack Data Scientist working projects endtoend build deep domain expertise intersection Data Science Marketing Refer Asana Tech blog showcases teams work,4.2,"San Francisco, CA",1001 to 5000 Employees,2008,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,17875.0,16, CA,0.0,nf,900
Lilly ,Data Scientist - NextGen QMS,108473.0,At Lilly unite caring discovery make life better people around world We global healthcare leader headquartered Indianapolis Indiana Our employees around world work discover bring lifechanging medicines need improve understanding management disease give back communities philanthropy volunteerism We give best effort work put people first We’re looking people determined make life better people around world Lilly’s Purpose At Lilly unite caring discovery make life better people around world We global healthcare leader headquartered Indianapolis Indiana Our 39000 employees around world work discover bring lifechanging medicines need improve understanding management disease give back communities philanthropy volunteerism We give best effort work put people first We’re looking people determined make life better people around world,4.1,"Indianapolis, IN",10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),9039.42,148, IN,0.0,nf,1122
Murphy USA ,Data Scientist I,124823.72,GENERAL DESCRIPTION OF POSITION The Data Scientist responsible supporting data science initiatives drive business profitability increased efficiencies improved customer experience This role applies industryleading analytical methodologies working large datasets extract meaningful business insight creatively solve business problems Data Scientists also responsible ensuring developed codes documented library reusable algorithms As Data Scientist apply advanced analytics methods algorithms identifying trends providing business solutions This role expected present insights recommendations nontechnical audiences explain benefits impacts recommended solutions In addition Data Scientists collaborate business partners crossfunctional teams requiring effective communication skills building relationships focus understanding overall business area supported This role facilitate endtoend development testing monitoring analytical models across brands The Data Scientist use machine learning algorithms effort improve data quality generate insights data The role handson focused AIML model development This scientist attend daily standups work Agile environment ESSENTIAL DUTIES AND RESPONSIBILITIES Design develop algorithms models use large datasets create business insights Participate analytical projects data sciencetechnical lead May work independently solution environment Aid appropriate selection utilization interpretation advanced analytical methodologies Execute tasks high levels efficiency quality Effectively communicate insights recommendations technical nontechnical leaders business customerspartners including preparing reports updates andor presentations related progress made project solution Work project teams business partners determine project goals deliver productionized models tools using Agile including data processing scripting modeling measurement error handling documentation Present recommendations confident manner order influence execution recommendation Incorporate business knowledge solution approachIdentify relevant data sources mine given target outcomes Collect large structured unstructured datasets variables Analyze data trends patterns interpret data clear objective mind Effectively develop trust collaboration internal customers crossfunctional teams Work project teams business partners determine project goals Participate continuous improvement analytics developing replicable solutions eg codified data products project documentation flowcharts ensure solutions leveraged future projects Utilizing statistical techniques identify key insights help solve business problems including mastery predictive modeling data mining data analysis Perform related duties required assigned QUALIFICATIONS To perform job successfully individual must able perform essential duty mentioned satisfactorily The requirements listed representative knowledge skill andor ability required EDUCATION AND EXPERIENCE Bachelor’s degree quantitative field like Computer Science Statistics Engineering Science Mathematics 1 3 years related experience data mining analytics database structure ETL predictive modeling machine learning statistical programming languages,3.0,"El Dorado, AR",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1, AR,0.0,nf,3796
Buzzclan ,Principal Data Scientist,80.0,Job Title Data Science Principal Location Dallas TXOnsiteRemote Duration 6 months Summary Extremely diversecomplex work completed minimal direction diverse interactions knowledge resource Assignments made terms broad practice precedents policies goals Work may reviewed fulfillment program objectives conformance departmental policy practice,4.2,"Dallas, TX",201 to 500 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),6.67,11, TX,1.0,senior,404
Veho ,"Senior Data Scientist, Operations Research",162500.0,About Veho Veho postpurchase experience company unlocks potential everyday consumers brands fully participate ecommerce Building entirely new endtoend logistics infrastructure powered latest technology designed modern era shopping Veho reinventing shipping parts postpurchase experience know By removing pain delivery returns Veho creating powerful opportunities brands engage build deep loyalty customers like never Responsibilities include Develop implement models algorithms solve complex problems using operations research statistics machine learning technologies,2.7,Remote,51 to 200 Employees,-1,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,13541.67,-1,Remote,1.0,senior,723
Apple ,"SR. DATA SCIENTIST - MARKETPLACE, APPLE AD PLATFORMS",124823.72,Summary Posted Sep 21 2023 Weekly Hours 40 Role Number200502569 At Apple believe power technology enrich peoples lives Everything build designed empower people including advertising platform We deliver ads way benefits consumers advertisers helping people discover content supporting creators protecting respecting everyone’s privacy Our technology makes advertising possible App Store Apple News Stocks Apple TV We help developers marketers sizes drive app discovery across App Store Our display ads Apple News Stocks let advertisers promote products alongside trusted content brandsafe environment supporting publishers journalists Sponsorship integrations experiences live sports Apple TV help advertisers connect captivated audiences Everything unwavering commitment privacy expect Apple Because advertising done right benefits everyone Our platforms highly performant deployed scale set new standards enabling effective advertising protecting user privacy The Ad Platforms Data Insights team seeking Senior Data Scientist join developing next generation analytical solutions collaboration Engineering Product Sales Marketing Finance In role work key member datacentric team drive exploration analysis development execution measurement solutions crucial running growing ads marketplace Responsibilities include turning huge amounts data generated user searches app content App Store context business insights improve customer experience enduser well drive discovery efficiency app developers This role requires broad knowledge statistics creativity invent customize vital Youll dig get details The theory behind techniques beginning Youll working projects practical applications approaches get applied realworld scenarios Successful analytics teams involve data scientists data engineers working hand hand build insightful efficient solutions In role key player multifunctional team delivers insights direct measurable impact Were looking inquisitive collaborative passionate person join amazing team Key Qualifications Description Support Marketplace Product Engineering Executive Team analyses improve product performance deepen customer insight deliver business impact Empower product algorithm engineering team insights advise fulfill strategic objectives goals Quantify impact marketplace initiatives advertiser impact business performance Design experiments help define opportunities pricing matching prediction models leading improved marketplace performance positive advertiser impact Supervise usage metrics provide businessbased explanations large scale trends patterns advertiser lifecycle behavior Develop reusable models data products working closely Data Engineering team ensure scalability models products production Lead business analytics projects phases including defining investigations exploring data conducting analysis interpreting communicating results customers Education Experience Background computer science mathematics similar quantitative field minimum 6 years professional experience Graduate degrees fields plus Additional Requirements Apple’s important resource soul people Apple benefits help wellbeing employees families significant ways No matter work Apple take advantage health wellness resources timeaway programs We’re proud provide stock grants employees levels company also give employees option buy Apple stock discount offer everyone Apple chance share company’s success You’ll discover many benefits working Apple programs match charitable contributions reimburse continuing education give special employee pricing Apple products Apple benefits programs vary country subject eligibility requirements Apple equal opportunity employer committed inclusion diversity We take affirmative action ensure equal opportunity applicants without regard race color religion sex sexual orientation gender identity national origin disability Veteran status legally protected characteristics Apple dedicated working providing reasonable accommodation applicants physical mental disabilities Pay Benefits,4.2,"Cupertino, CA",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1, CA,0.0,senior,5101
Apollo.io ,Sr. Product Analyst / Sr. Data Scientist,124823.72,Apolloio leading gotomarket solution revenue teams trusted 500000 companies millions users globally rapidly growing startups worlds largest enterprises Apolloio provides sales marketing teams easy access verified contact data 270 million B2B contacts along tools engage convert contacts one unified platform By helping revenue professionals find accurate contact information automating outreach process Apolloio turns prospects customers Apollo raised series D 2023 backed toptier investors including Sequoia Capital Bain Capital Ventures counts former President COO Hubspot JD Sherman among board members Apolloio growing rapidly 900 revenue growth since 2021 looking worldclass talent keep building us,4.3,Remote,Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1,Remote,1.0,senior,911
WSP ,Early Career Data Scientist/SQL GIS Developer,100030.0,Early Career Data ScientistSQL GIS Developer Who We Are At WSP driven inspiring futureready pioneers innovate We’re looking grow teams people ready collaborate building communities expanding skylines To hire candidates experiences skillsets backgrounds walks life We actively foster work environment culture inclusion diversity part fundamental structure This delivered behaviorally policies trainings local partnerships professional diverse organizations internal networks importantly support sponsorship leaders help drive commitment inclusive diverse welcoming equitable work environment Anything within reach WSP employee Come join us help shape future,-1.0,"Baltimore, MD",10000+ Employees,-1,Company - Private,Unknown,Unknown,$5 to $25 million (USD),8335.83,-1, MD,0.0,nf,871
Apple ,Computer Vision Data Scientist,124823.72,Summary Posted Dec 18 2023 Role Number200529289 Do passion computer vision deep learning problems We looking someone thrives collaboration wants push boundaries possible today The Video Computer Vision org centralized applied research engineering organization responsible developing realtime ondevice Computer Vision Machine Perception technologies across Apple products Our data scientist work closely members Video Computer Vision org implement model evaluation pipeline analyze large scale data help influence product decision improve product quality This position require strong analytical coding skills presentation skills leadership skills collaborating multiple teams You get work computer vision products like FaceID exciting future technologies Key Qualifications Description We work complex problems computer vision require robust efficient well tested clean solutions The ideal candidate possess selfmotivation curiosity initiative achieve goals You work together similar minds unique team skills expertise used influence future user experiences products used millions Education Experience BS minimum 3 years relevant industry experience Additional Requirements Pay Benefits,4.2,"Cupertino, CA",Unknown,-1,Unknown,Unknown,Unknown,Unknown / Non-Applicable,10401.98,-1, CA,0.0,nf,1481
